File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;File Lines;Learning;NbOthors
tensorflow\contrib\distributions\python\ops\bijectors\cholesky_outer_product.py;Joshua V. Dillon      ;22;9.322033898305085;A. Unique TensorFlower;215;91.10169491525424;236;false;2
tensorflow\contrib\distributions\python\ops\bijectors\exp.py;Joshua V. Dillon      ;22;33.333333333333336;A. Unique TensorFlower;45;68.18181818181819;66;false;2
tensorflow\contrib\distributions\python\ops\bijectors\inline.py;Joshua V. Dillon      ;22;15.602836879432624;A. Unique TensorFlower;120;85.1063829787234;141;false;2
tensorflow\contrib\distributions\python\ops\bijectors\invert.py;Joshua V. Dillon      ;22;21.568627450980394;A. Unique TensorFlower;81;79.41176470588235;102;false;2
tensorflow\contrib\distributions\python\ops\bijectors\masked_autoregressive.py;Joshua V. Dillon      ;25;4.930966469428008;A. Unique TensorFlower;483;95.26627218934911;507;false;2
tensorflow\contrib\distributions\python\ops\bijectors\permute.py;Joshua V. Dillon      ;21;15.217391304347826;A. Unique TensorFlower;118;85.5072463768116;138;false;2
tensorflow\contrib\distributions\python\ops\bijectors\power_transform.py;Joshua V. Dillon      ;22;17.322834645669293;A. Unique TensorFlower;106;83.46456692913385;127;false;2
tensorflow\contrib\distributions\python\ops\bijectors\sigmoid.py;Joshua V. Dillon      ;22;45.833333333333336;A. Unique TensorFlower;27;56.25;48;false;2
tensorflow\contrib\distributions\python\ops\bijectors\sigmoid_centered.py;Joshua V. Dillon      ;22;56.41025641025641;A. Unique TensorFlower;18;46.15384615384615;39;false;2
tensorflow\contrib\distributions\python\ops\bijectors\sinh_arcsinh.py;Ian Langmore          ;22;12.29050279329609;A. Unique TensorFlower;158;88.26815642458101;179;false;2
tensorflow\contrib\distributions\python\ops\bijectors\softmax_centered.py;Joshua V. Dillon      ;26;10.833333333333334;A. Unique TensorFlower;215;89.58333333333333;240;false;2
tensorflow\contrib\distributions\python\ops\bijectors\softplus.py;Joshua V. Dillon      ;22;15.277777777777779;A. Unique TensorFlower;123;85.41666666666667;144;false;2
tensorflow\contrib\eager\python\network.py;A. Unique TensorFlower;171;17.86833855799373;Allen Lavoie          ;787;82.23615464994775;957;false;2
tensorflow\contrib\factorization\python\ops\kmeans.py;A. Unique TensorFlower;396;96.82151589242054;Yutaka Leon           ;14;3.4229828850855744;409;false;2
tensorflow\contrib\framework\python\framework\experimental.py;Martin Wicke    ;66;98.50746268656717;Illia Polosukhin;2;2.985074626865672;67;false;2
tensorflow\contrib\framework\python\ops\checkpoint_ops.py;Wei Ho                ;88;48.888888888888886;A. Unique TensorFlower;93;51.666666666666664;180;false;2
tensorflow\contrib\framework\python\ops\prettyprint_ops.py;A. Unique TensorFlower;160;94.11764705882354;Eugene Brevdo         ;11;6.470588235294118;170;false;2
tensorflow\contrib\framework\python\ops\script_ops.py;Christoph Boeddeker;122;85.31468531468532;Sourabh Bajaj      ;22;15.384615384615385;143;false;2
tensorflow\contrib\gan\python\estimator\python\head_impl.py;A. Unique TensorFlower;204;98.07692307692308;Julian Niedermeier    ;5;2.4038461538461537;208;false;2
tensorflow\contrib\gan\python\eval\python\summaries_impl.py;A. Unique TensorFlower;188;97.40932642487047;Ben                   ;6;3.1088082901554404;193;false;2
tensorflow\contrib\gan\python\features\__init__.py;A. Unique TensorFlower;38;86.36363636363636;Yifei Feng            ;7;15.909090909090908;44;false;2
tensorflow\contrib\gan\python\features\python\clip_weights.py;Yifei Feng            ;8;28.571428571428573;A. Unique TensorFlower;21;75;28;false;2
tensorflow\contrib\gan\python\features\python\conditioning_utils.py;Yifei Feng            ;8;28.571428571428573;A. Unique TensorFlower;21;75;28;false;2
tensorflow\contrib\gan\python\features\python\virtual_batchnorm.py;Yifei Feng            ;7;25.925925925925927;A. Unique TensorFlower;21;77.77777777777777;27;false;2
tensorflow\contrib\gan\python\losses\__init__.py;A. Unique TensorFlower;32;91.42857142857143;Yifei Feng            ;4;11.428571428571429;35;false;2
tensorflow\contrib\gan\python\losses\python\losses_wargs.py;A. Unique TensorFlower;25;92.5925925925926;Yifei Feng            ;3;11.11111111111111;27;false;2
tensorflow\contrib\gan\python\losses\python\tuple_losses.py;Yifei Feng            ;7;25.925925925925927;A. Unique TensorFlower;21;77.77777777777777;27;false;2
tensorflow\contrib\gan\python\losses\python\tuple_losses_impl.py;A. Unique TensorFlower;278;99.6415770609319;Yifei Feng            ;2;0.7168458781362007;279;false;2
tensorflow\contrib\graph_editor\edit.py;A. Unique TensorFlower;220;99.5475113122172;Patrick Nguyen        ;2;0.9049773755656109;221;false;2
tensorflow\contrib\graph_editor\__init__.py;A. Unique TensorFlower;40;90.9090909090909;Martin Wicke          ;5;11.363636363636363;44;false;2
tensorflow\contrib\hooks\python\training\profiler_hook.py;Vijay Vasudevan;20;86.95652173913044;Mustafa Ispir  ;4;17.391304347826086;23;false;2
